Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,2034.280587301614
FDW14,OUT017,1741.3388481049112
NCN55,OUT010,1553.2108087286972
FDQ58,OUT017,2348.3786257326883
FDY38,OUT027,4468.179810295293
FDH56,OUT046,2042.5272870087265
FDL48,OUT018,1160.8203729219747
FDC48,OUT027,2899.092440616363
FDN33,OUT045,1730.967207296163
FDA36,OUT017,2843.2762556910166
FDT44,OUT017,2057.746885672451
FDQ56,OUT045,1630.5136360891818
NCC54,OUT019,1606.5423955524516
FDU11,OUT049,2194.386302608975
DRL59,OUT013,1380.9171964991724
FDM24,OUT049,2467.3689122067417
FDI57,OUT045,2810.8445258039615
DRC12,OUT018,2530.716333213032
NCM42,OUT027,3150.07524810756
FDA46,OUT010,1117.3596037893767
FDA31,OUT013,2655.0070792030137
NCJ31,OUT035,3318.9391503330808
FDG52,OUT046,1237.892042314794
NCL19,OUT019,547.5574217113107
FDS10,OUT035,2768.2195780389848
FDX22,OUT010,1431.2179189216515
NCF19,OUT035,1424.1400843203453
NCE06,OUT046,2416.1839070585
DRC27,OUT046,3276.7555703967137
FDE21,OUT035,2140.0469445021295
NCR42,OUT019,568.0209884877265
FDX51,OUT018,2683.0314832004597
NCR06,OUT018,1017.3177754597139
FDU31,OUT027,4364.556730252454
FDU59,OUT017,2527.400502908746
FDR03,OUT027,4128.668951821979
FDS49,OUT027,2812.6311477313448
FDD48,OUT010,365.69959899971025
NCF18,OUT017,2852.530119680989
NCD43,OUT027,3080.7527231599133
NCD54,OUT018,2091.9424396332965
FDY19,OUT010,390.9033238720938
NCY54,OUT017,2585.2812187093155
NCL19,OUT018,2063.7580351602737
FDP23,OUT010,1404.610479477632
FDC26,OUT013,1998.9432778499197
FDR14,OUT010,319.43686791771256
NCS41,OUT035,2736.162801241908
FDF41,OUT035,3482.387339706131
FDU34,OUT046,2035.3379010195265
DRH11,OUT046,1319.5312298565932
FDM03,OUT013,1768.3715672682524
FDS31,OUT017,2640.47161400374
FDJ20,OUT017,2192.7381866168707
FDV44,OUT027,3999.8739381720275
FDG02,OUT049,2906.3102764221676
FDA09,OUT013,2692.611310229315
FDT04,OUT013,1156.780107066439
FDL58,OUT019,1855.569623031696
FDE52,OUT045,1661.240244557639
FDW12,OUT035,2455.7427060607283
FDL51,OUT017,3157.8395324688636
NCY42,OUT027,3487.915766840584
FDR07,OUT017,1907.287314426863
FDN40,OUT045,2242.3693078486963
FDB35,OUT027,3027.414217857984
FDA22,OUT017,2534.614222722115
NCL06,OUT046,3456.2364810245112
FDI35,OUT013,2730.239602980023
NCW42,OUT045,3028.6696040979464
NCX06,OUT049,2809.718468386785
FDC37,OUT027,3197.313069048464
FDZ14,OUT018,1920.4998548893795
DRG49,OUT049,3423.80666202811
NCG06,OUT045,3382.5153377606666
DRC36,OUT045,2543.420094927928
FDV21,OUT019,307.1654135508081
FDB53,OUT046,2230.8354508618004
DRP47,OUT019,1600.1063587613444
FDA14,OUT013,2333.2923089635888
DRC24,OUT035,2474.7958937735907
FDW21,OUT018,1625.4985607304031
NCH29,OUT046,1714.9747978876171
FDU58,OUT013,2824.042104840363
FDY27,OUT017,2636.309795773745
FDV56,OUT035,2115.1239722304335
FDT59,OUT046,3173.6521054661953
FDB23,OUT046,3164.6197186123654
FDR49,OUT045,1162.1184189153753
FDB03,OUT010,1663.3344689661126
FDN39,OUT045,2505.738782494381
FDX02,OUT027,4320.090242499771
FDQ16,OUT027,3171.074072040192
FDU35,OUT018,1521.4550787836413
NCT29,OUT013,2109.8888861880564
FDZ27,OUT046,1207.0470955154553
FDN57,OUT017,2347.08409195251
FDA03,OUT018,2120.074121648318
FDZ36,OUT045,2709.8964805733917
NCU05,OUT013,1680.978631500229
FDT39,OUT018,2257.722761777426
FDK60,OUT017,1813.567541516578
FDZ25,OUT017,2601.179419866262
FDG12,OUT046,1939.4183024360855
DRB01,OUT019,959.5029176991418
NCC43,OUT027,4533.132520857243
FDX13,OUT019,1696.0244072899102
FDM22,OUT049,1507.8200153692155
FDJ03,OUT027,2569.631124865241
FDU14,OUT018,3188.4657908586146
FDB33,OUT010,900.3279140300777
FDP27,OUT046,2739.651500045367
FDO38,OUT010,51.86340471078984
FDE28,OUT027,4374.699305849111
FDO27,OUT035,1867.8188091576737
DRL23,OUT027,3117.9104901807955
FDS28,OUT046,1377.2207374375837
FDX24,OUT013,1794.1521586391348
FDZ02,OUT035,1964.5774928493863
FDL46,OUT045,1982.251514817343
FDS60,OUT027,3911.5971487929833
NCO06,OUT017,1172.3597205494143
FDO16,OUT035,1820.2986075116792
FDC60,OUT049,1855.2186582419185
FDA48,OUT018,2834.0961821724086
FDZ36,OUT027,3956.635940776822
FDK27,OUT045,2052.71145429819
FDW23,OUT018,1002.7690594024208
FDM14,OUT018,1748.97697321031
FDM14,OUT013,1988.6678174051976
