Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1555.8318
FDW14,OUT017,1316.8461
NCN55,OUT010,827.0835
FDQ58,OUT017,2399.7515
FDY38,OUT027,5916.7817
FDH56,OUT046,1955.5232
FDL48,OUT018,544.4956
FDC48,OUT027,2149.3413
FDN33,OUT045,1440.0416
FDA36,OUT017,3125.2874
FDT44,OUT017,1876.7462
FDQ56,OUT045,1368.9973
NCC54,OUT019,704.3735
FDU11,OUT049,2115.2153
DRL59,OUT013,767.88055
FDM24,OUT049,2274.3455
FDI57,OUT045,3203.5518
DRC12,OUT018,3031.798
NCM42,OUT027,2308.697
FDA46,OUT010,572.87067
FDA31,OUT013,2734.5967
NCJ31,OUT035,3840.5366
FDG52,OUT046,740.9549
NCL19,OUT019,398.77225
FDS10,OUT035,2972.802
FDX22,OUT010,807.5737
NCF19,OUT035,821.6863
NCE06,OUT046,2518.3506
DRC27,OUT046,3775.2563
FDE21,OUT035,2257.1094
NCR42,OUT019,11.537127
FDX51,OUT018,2821.7356
NCR06,OUT018,549.2242
FDU31,OUT027,5245.425
FDU59,OUT017,2243.1685
FDR03,OUT027,4978.628
FDS49,OUT027,2477.8557
FDD48,OUT010,389.1011
NCF18,OUT017,2964.4026
NCD43,OUT027,2457.003
NCD54,OUT018,1722.4653
FDY19,OUT010,197.31136
NCY54,OUT017,2770.2239
NCL19,OUT018,2181.444
FDP23,OUT010,446.84708
FDC26,OUT013,1770.1174
FDR14,OUT010,54.01635
NCS41,OUT035,3193.3403
FDF41,OUT035,3751.57
FDU34,OUT046,1923.0116
DRH11,OUT046,1032.0049
FDM03,OUT013,1770.8389
FDS31,OUT017,3200.2517
FDJ20,OUT017,1919.9673
FDV44,OUT027,5305.7075
FDG02,OUT049,2859.974
FDA09,OUT013,3292.839
FDT04,OUT013,579.25824
FDL58,OUT019,126.82301
FDE52,OUT045,1377.8225
FDW12,OUT035,2502.164
FDL51,OUT017,3241.0947
NCY42,OUT027,3298.579
FDR07,OUT017,1657.8323
FDN40,OUT045,2048.0957
FDB35,OUT027,2478.6514
FDA22,OUT017,2647.8755
NCL06,OUT046,4235.3066
FDI35,OUT013,3279.236
NCW42,OUT045,3610.3853
NCX06,OUT049,3290.6265
FDC37,OUT027,2851.3582
FDZ14,OUT018,1798.0651
DRG49,OUT049,4482.0884
NCG06,OUT045,3395.393
DRC36,OUT045,2806.329
FDV21,OUT019,342.8513
FDB53,OUT046,2583.0754
DRP47,OUT019,686.037
FDA14,OUT013,2535.629
